"aquaticSiteType","siteID","locationID","year","samplingImpractical","habitatType","samplerType","targetTaxaPresent","chemSubsampleID","sampleCollected","benthicArea","sampleDepth","growthForm","taxonID","class","arealAdjDryMass","arealAdjAshFreeDryMass","biomass","type"
"stream","HOPB","Q1",2017,NA,"pool","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA
"stream","HOPB","Q2",2017,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q3",2017,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q4",2017,NA,"riffle","quadrat, benthic","Y",NA,"Y",0.25,NA,"submerged","GRIMMI","Bryopsida",NA,NA,NA,"plant"
"stream","HOPB","Q4",2017,NA,"riffle","quadrat, benthic","Y","HOPB.20170711.RAAC4.Q4","Y",0.25,NA,"submerged","RAAC4","Bryopsida",22.92,13.28,13.28,"plant"
"stream","HOPB","Q5",2017,NA,"pool","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q6",2017,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q7",2017,NA,"pool","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q8",2017,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q9",2017,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q10",2017,NA,"pool","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q1",2018,NA,"pool","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q2",2018,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q3",2018,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q4",2018,NA,"riffle","quadrat, benthic","Y",NA,"N",0.25,NA,"submerged",NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q5",2018,NA,"pool","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q6",2018,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q7",2018,NA,"pool","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q8",2018,NA,"riffle","quadrat, benthic","Y","HOPB.20180712.PLLE3.Q8","Y",0.25,NA,"submerged","PLLE3","Bryopsida",5.23,2.62,2.62,"plant"
"stream","HOPB","Q9",2018,NA,"riffle","quadrat, benthic","Y","HOPB.20180712.FONO.Q9","Y",0.25,NA,"submerged","FONO","Bryopsida",27.69,19.49,19.49,"plant"
"stream","HOPB","Q10",2018,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q1",2019,NA,"pool","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q2",2019,NA,"riffle","quadrat, benthic","Y","HOPB.20190709.PLLE3.Q2","Y",0.25,NA,"submerged","PLLE3","Bryopsida",0.19,0.1,0.1,"plant"
"stream","HOPB","Q3",2019,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q4",2019,NA,"riffle","quadrat, benthic","Y",NA,"Y",0.25,NA,"submerged","FIBR70","Bryopsida",0.01,0.01,0.01,"plant"
"stream","HOPB","Q5",2019,NA,"pool","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q6",2019,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q7",2019,NA,"pool","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q8",2019,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q9",2019,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q10",2019,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q1",2020,NA,"pool","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q2",2020,NA,"riffle","quadrat, benthic","Y","HOPB.20200714.PLLE3.Q2","Y",0.25,NA,"submerged","PLLE3","Bryopsida",0.25,0.15,0.15,"plant"
"stream","HOPB","Q3",2020,NA,"run","quadrat, benthic","Y","HOPB.20200714.PLLE3.Q3","Y",0.25,NA,"submerged","PLLE3","Bryopsida",0.02,0.01,0.01,"plant"
"stream","HOPB","Q4",2020,NA,"riffle","quadrat, benthic","Y","HOPB.20200714.PLLE3.Q4","Y",0.25,NA,"submerged","PLLE3","Bryopsida",7.03,3.35,3.35,"plant"
"stream","HOPB","Q5",2020,NA,"pool","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q6",2020,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q7",2020,NA,"pool","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q8",2020,NA,"run","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q9",2020,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q10",2020,NA,"run","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q1",2021,NA,"pool","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q2",2021,NA,"riffle","quadrat, benthic","Y","HOPB.20210728.AP1.Q2.CN","Y",0.25,NA,"submerged","PLLE3","Bryopsida",0.43,0.23,0.23,"plant"
"stream","HOPB","Q3",2021,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q4",2021,NA,"riffle","quadrat, benthic","Y","HOPB.20210728.AP1.Q4.CN","Y",0.25,NA,"submerged","PLLE3","Bryopsida",3.56,2.28,2.28,"plant"
"stream","HOPB","Q5",2021,NA,"pool","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q6",2021,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q7",2021,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q8",2021,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q9",2021,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q10",2021,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q1",2022,NA,"pool","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q2",2022,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q3",2022,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q4",2022,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
