"siteID","year","month","percCov","survey","aquaticSiteType"
"ARIK",2014,7,50.9266666666667,2014-07-01,"stream"
"ARIK",2015,7,72.995,2015-07-01,"stream"
"ARIK",2016,7,70.785,2016-07-01,"stream"
"ARIK",2017,7,11.4605555555556,2017-07-01,"stream"
"ARIK",2018,6,13.3283333333333,2018-06-01,"stream"
"ARIK",2019,7,5.67916666666667,2019-07-01,"stream"
"ARIK",2021,7,35.2008333333333,2021-07-01,"stream"
"ARIK",2023,7,24.4947222222222,2023-07-01,"stream"
"BIGC",2018,7,82.2588888888889,2018-07-01,"stream"
"BIGC",2019,7,88.5808333333333,2019-07-01,"stream"
"BIGC",2021,8,81.0666666666667,2021-08-01,"stream"
"BIGC",2022,8,87.5638888888889,2022-08-01,"stream"
"BIGC",2023,8,81.4231481481481,2023-08-01,"stream"
"BLDE",2018,6,41.5691666666667,2018-06-01,"stream"
"BLDE",2019,6,47.4791666666667,2019-06-01,"stream"
"BLDE",2020,6,NA,2020-06-01,"stream"
"BLDE",2021,7,46.2247222222222,2021-07-01,"stream"
"BLDE",2023,6,55.1475,2023-06-01,"stream"
"BLUE",2017,6,62.2727083333333,2017-06-01,"stream"
"BLUE",2018,6,69.5083333333333,2018-06-01,"stream"
"BLUE",2019,6,60.3908333333333,2019-06-01,"stream"
"BLUE",2021,6,75.7549603174603,2021-06-01,"stream"
"BLUE",2022,5,73.4583333333333,2022-05-01,"stream"
"BLUE",2022,6,57.0222222222222,2022-06-01,"stream"
"BLUE",2023,6,52.632671957672,2023-06-01,"stream"
"CARI",2017,7,73.3622569444445,2017-07-01,"stream"
"CARI",2018,8,67.8895833333333,2018-08-01,"stream"
"CARI",2019,6,72.1163888888889,2019-06-01,"stream"
"CARI",2020,6,67.5938888888889,2020-06-01,"stream"
"CARI",2021,7,72.89,2021-07-01,"stream"
"CARI",2022,8,68.9905555555556,2022-08-01,"stream"
"CARI",2023,7,77.405,2023-07-01,"stream"
"COMO",2016,9,74.3579166666667,2016-09-01,"stream"
"COMO",2017,8,81.7584362139918,2017-08-01,"stream"
"COMO",2018,8,85.8330555555556,2018-08-01,"stream"
"COMO",2019,8,81.9658333333333,2019-08-01,"stream"
"COMO",2020,8,74.0983333333333,2020-08-01,"stream"
"COMO",2021,7,78.5783333333333,2021-07-01,"stream"
"COMO",2023,8,80.4283333333333,2023-08-01,"stream"
