"siteID","namedLocation","collectDate","eventID","sampleID","samplerType","towsTrapsVolume","taxonID","nauplii","zooMinimumLength","zooMaximumLength","zooWidth","adjCountPerBottle","aquaticSiteType","countPerL"
"BARC","BARC.AOS.littoral1",2014-07-02 16:00:00,"BARC.20140702","BARC.IN.20140702.ZOO","tow net",525.6,"ACRHAR","N",0.375,0.375,NA,74,"lake",0.140791476407915
"BARC","BARC.AOS.littoral1",2014-07-02 16:00:00,"BARC.20140702","BARC.IN.20140702.ZOO","tow net",525.6,"GASSTY","N",0.062,0.062,NA,74,"lake",0.140791476407915
"BARC","BARC.AOS.littoral1",2014-07-02 16:00:00,"BARC.20140702","BARC.IN.20140702.ZOO","tow net",525.6,"CALSP1","N",0.55,0.875,NA,15985,"lake",30.4128614916286
"BARC","BARC.AOS.littoral1",2014-07-02 16:00:00,"BARC.20140702","BARC.IN.20140702.ZOO","tow net",525.6,"COPSP","Y",0.075,0.25,NA,8030,"lake",15.2777777777778
"BARC","BARC.AOS.littoral1",2014-07-02 16:00:00,"BARC.20140702","BARC.IN.20140702.ZOO","tow net",525.6,"HESAUG","N",0.9,1.075,NA,2156,"lake",4.10197869101979
"BARC","BARC.AOS.littoral1",2014-07-02 16:00:00,"BARC.20140702","BARC.IN.20140702.ZOO","tow net",525.6,"ROTSP","N",0.162,0.188,NA,297,"lake",0.565068493150685
"BARC","BARC.AOS.littoral1",2014-07-02 16:00:00,"BARC.20140702","BARC.IN.20140702.ZOO","tow net",525.6,"MONBUL","N",0.112,0.112,NA,74,"lake",0.140791476407915
"BARC","BARC.AOS.littoral1",2014-07-02 16:00:00,"BARC.20140702","BARC.IN.20140702.ZOO","tow net",525.6,"TRISIM","N",0.125,0.125,NA,223,"lake",0.42427701674277
"BARC","BARC.AOS.littoral1",2014-07-02 16:00:00,"BARC.20140702","BARC.IN.20140702.ZOO","tow net",525.6,"CYCSP","N",0.375,0.425,NA,149,"lake",0.283485540334855
"BARC","BARC.AOS.littoral1",2014-07-02 16:00:00,"BARC.20140702","BARC.IN.20140702.ZOO","tow net",525.6,"LECMIR","N",0.112,0.112,NA,297,"lake",0.565068493150685
"BARC","BARC.AOS.littoral1",2014-07-02 16:00:00,"BARC.20140702","BARC.IN.20140702.ZOO","tow net",525.6,"SKIMIS","N",0.85,1,NA,743,"lake",1.41362252663623
"BARC","BARC.AOS.buoy.c0",2014-07-02 16:00:00,"BARC.20140702","BARC.BOUY.20140702.ZOO","tow net",686.2,"CYCSP","N",0.35,0.425,NA,219,"lake",0.319148936170213
"BARC","BARC.AOS.buoy.c0",2014-07-02 16:00:00,"BARC.20140702","BARC.BOUY.20140702.ZOO","tow net",686.2,"ROTSP","N",0.188,0.212,NA,94,"lake",0.136986301369863
"BARC","BARC.AOS.buoy.c0",2014-07-02 16:00:00,"BARC.20140702","BARC.BOUY.20140702.ZOO","tow net",686.2,"DIPPRO","N",0.188,0.188,NA,31,"lake",0.0451763334304867
"BARC","BARC.AOS.buoy.c0",2014-07-02 16:00:00,"BARC.20140702","BARC.BOUY.20140702.ZOO","tow net",686.2,"LECINE","N",0.125,0.125,NA,125,"lake",0.18216263480035
"BARC","BARC.AOS.buoy.c0",2014-07-02 16:00:00,"BARC.20140702","BARC.BOUY.20140702.ZOO","tow net",686.2,"MONBUL","N",0.112,0.112,NA,63,"lake",0.0918099679393763
"BARC","BARC.AOS.buoy.c0",2014-07-02 16:00:00,"BARC.20140702","BARC.BOUY.20140702.ZOO","tow net",686.2,"TRISIM","N",0.125,0.125,NA,188,"lake",0.273972602739726
"BARC","BARC.AOS.buoy.c0",2014-07-02 16:00:00,"BARC.20140702","BARC.BOUY.20140702.ZOO","tow net",686.2,"HESAUG","N",0.9,1.075,NA,876,"lake",1.27659574468085
"BARC","BARC.AOS.buoy.c0",2014-07-02 16:00:00,"BARC.20140702","BARC.BOUY.20140702.ZOO","tow net",686.2,"COPSP","Y",0.088,0.238,NA,6665,"lake",9.71291168755465
"BARC","BARC.AOS.buoy.c0",2014-07-02 16:00:00,"BARC.20140702","BARC.BOUY.20140702.ZOO","tow net",686.2,"CALSP1","N",0.375,0.85,NA,7009,"lake",10.2142232585252
"BARC","BARC.AOS.buoy.c0",2014-07-02 16:00:00,"BARC.20140702","BARC.BOUY.20140702.ZOO","tow net",686.2,"LECMIR","N",0.112,0.112,NA,31,"lake",0.0451763334304867
"BARC","BARC.AOS.buoy.c0",2014-07-02 16:00:00,"BARC.20140702","BARC.BOUY.20140702.ZOO","tow net",686.2,"LEPSP32","N",0.062,0.062,NA,31,"lake",0.0451763334304867
"BARC","BARC.AOS.buoy.c0",2014-07-02 16:00:00,"BARC.20140702","BARC.BOUY.20140702.ZOO","tow net",686.2,"SKIMIS","N",0.775,1,NA,1126,"lake",1.64092101428155
"BARC","BARC.AOS.littoral2",2014-07-02 16:00:00,"BARC.20140702","BARC.OUT.20140702.ZOO","Schindler-Patalas",24,"LECMIR","N",0.112,0.112,NA,9,"lake",0.375
"BARC","BARC.AOS.littoral2",2014-07-02 16:00:00,"BARC.20140702","BARC.OUT.20140702.ZOO","Schindler-Patalas",24,"PTYBRA","N",0.188,0.188,NA,879,"lake",36.625
"BARC","BARC.AOS.littoral2",2014-07-02 16:00:00,"BARC.20140702","BARC.OUT.20140702.ZOO","Schindler-Patalas",24,"CALSP1","N",0.875,0.875,NA,9,"lake",0.375
"BARC","BARC.AOS.littoral2",2014-07-02 16:00:00,"BARC.20140702","BARC.OUT.20140702.ZOO","Schindler-Patalas",24,"MONBUL","N",0.112,0.112,NA,818,"lake",34.0833333333333
